pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,832.82
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,835.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,845.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,846.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,845.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,848.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,837.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,836.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,840.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,849.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,849.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,847.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,850.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,839.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,840.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,844.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,851.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,851.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,848.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,851.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,843.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,842.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,846.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,851.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,851.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,849.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,852.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,844.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,870.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,874.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,875.86
